"城市","检索单元","检索词","页面公布末页","实际末页","原始卡片数","停止原因","失败或空页数","检索日期"
"无锡市","无锡市","无锡探店","34","28","1159","第29页显示无结果，按实际结果耗尽停止","1","2026-07-22"
"无锡市","江阴市","江阴探店","34","28","1160","搜索结果实际耗尽","1","2026-07-22"
"无锡市","宜兴市","宜兴探店","34","28","1159","搜索结果实际耗尽","1","2026-07-22"
"苏州市","苏州市","苏州探店","34","28","1159","搜索结果实际耗尽","1","2026-07-22"
"苏州市","常熟市","常熟探店","34","28","1160","搜索结果实际耗尽","1","2026-07-22"
"苏州市","张家港市","张家港探店","34","28","1162","搜索结果实际耗尽","1","2026-07-22"
"苏州市","昆山市","昆山探店","34","28","1159","搜索结果实际耗尽","1","2026-07-22"
"苏州市","太仓市","太仓探店","34","28","1159","搜索结果实际耗尽","1","2026-07-22"
"常州市","常州市","常州探店","34","28","1159","搜索结果实际耗尽","1","2026-07-22"
"常州市","溧阳市","溧阳探店","34","28","1159","搜索结果实际耗尽","1","2026-07-22"
"镇江市","镇江市","镇江探店","34","28","1160","搜索结果实际耗尽","1","2026-07-22"
"镇江市","丹阳市","丹阳探店","34","28","1160","搜索结果实际耗尽","1","2026-07-22"
"镇江市","扬中市","扬中探店","34","28","1160","搜索结果实际耗尽","1","2026-07-22"
"镇江市","句容市","句容探店","34","28","1162","搜索结果实际耗尽","1","2026-07-22"
"南京市","溧水区","溧水探店","0","0","0","第三次重试仍触发 HTTP 412，已停止","3","2026-07-23"
"泰州市","靖江市","靖江探店","0","0","0","前序溧水第三次重试仍触发 HTTP 412，按规则未发起","0","2026-07-23"
